Survival Rate,Year,Race,Gender,Cancer Type
0.559,1977,All races,females,All cancers
0.55,1980,All races,females,All cancers
0.551,1983,All races,females,All cancers
0.576,1986,All races,females,All cancers
0.596,1989,All races,females,All cancers
0.609,1992,All races,females,All cancers
0.618,1995,All races,females,All cancers
0.636,1998,All races,females,All cancers
0.657,2001,All races,females,All cancers
0.669,2006,All races,females,All cancers
0.691,2013,All races,females,All cancers
0.417,1977,All races,males,All cancers
0.431,1980,All races,males,All cancers
0.452,1983,All races,males,All cancers
0.472,1986,All races,males,All cancers
0.511,1989,All races,males,All cancers
0.591,1992,All races,males,All cancers
0.608,1995,All races,males,All cancers
0.63,1998,All races,males,All cancers
0.663,2001,All races,males,All cancers
0.681,2006,All races,males,All cancers
0.692,2013,All races,males,All cancers
0.489,1977,All races,total,All cancers
0.49,1980,All races,total,All cancers
0.502,1983,All races,total,All cancers
0.524,1986,All races,total,All cancers
0.553,1989,All races,total,All cancers
0.599,1992,All races,total,All cancers
0.613,1995,All races,total,All cancers
0.633,1998,All races,total,All cancers
0.66,2001,All races,total,All cancers
0.675,2006,All races,total,All cancers
0.692,2013,All races,total,All cancers
,1963,Black,females,All cancers
,1973,Black,females,All cancers
0.462,1977,Black,females,All cancers
0.456,1980,Black,females,All cancers
0.444,1983,Black,females,All cancers
0.455,1986,Black,females,All cancers
0.477,1989,Black,females,All cancers
0.482,1992,Black,females,All cancers
0.506,1995,Black,females,All cancers
0.521,1998,Black,females,All cancers
0.543,2001,Black,females,All cancers
0.558,2006,Black,females,All cancers
0.603,2013,Black,females,All cancers
,1963,Black,males,All cancers
,1973,Black,males,All cancers
0.327,1977,Black,males,All cancers
0.333,1980,Black,males,All cancers
0.342,1983,Black,males,All cancers
0.355,1986,Black,males,All cancers
0.389,1989,Black,males,All cancers
0.476,1992,Black,males,All cancers
0.545,1995,Black,males,All cancers
0.579,1998,Black,males,All cancers
0.611,2001,Black,males,All cancers
0.636,2006,Black,males,All cancers
0.659,2013,Black,males,All cancers
0.27,1963,Black,total,All cancers
0.31,1973,Black,total,All cancers
0.39,1977,Black,total,All cancers
0.39,1980,Black,total,All cancers
0.388,1983,Black,total,All cancers
0.402,1986,Black,total,All cancers
0.43,1989,Black,total,All cancers
0.479,1992,Black,total,All cancers
0.528,1995,Black,total,All cancers
0.552,1998,Black,total,All cancers
0.58,2001,Black,total,All cancers
0.599,2006,Black,total,All cancers
0.633,2013,Black,total,All cancers
,1963,White,females,All cancers
,1973,White,females,All cancers
0.565,1977,White,females,All cancers
0.556,1980,White,females,All cancers
0.56,1983,White,females,All cancers
0.586,1986,White,females,All cancers
0.606,1989,White,females,All cancers
0.621,1992,White,females,All cancers
0.628,1995,White,females,All cancers
0.647,1998,White,females,All cancers
0.668,2001,White,females,All cancers
0.682,2006,White,females,All cancers
0.701,2013,White,females,All cancers
,1963,White,males,All cancers
,1973,White,males,All cancers
0.427,1977,White,males,All cancers
0.443,1980,White,males,All cancers
0.466,1983,White,males,All cancers
0.486,1986,White,males,All cancers
0.528,1989,White,males,All cancers
0.608,1992,White,males,All cancers
0.62,1995,White,males,All cancers
0.641,1998,White,males,All cancers
0.675,2001,White,males,All cancers
0.694,2006,White,males,All cancers
0.701,2013,White,males,All cancers
0.39,1963,White,total,All cancers
0.43,1973,White,total,All cancers
0.498,1977,White,total,All cancers
0.5,1980,White,total,All cancers
0.513,1983,White,total,All cancers
0.536,1986,White,total,All cancers
0.567,1989,White,total,All cancers
0.614,1992,White,total,All cancers
0.624,1995,White,total,All cancers
0.644,1998,White,total,All cancers
0.672,2001,White,total,All cancers
0.688,2006,White,total,All cancers
0.701,2013,White,total,All cancers
0.683,1977,All races,females,Bladder
0.704,1980,All races,females,Bladder
0.727,1983,All races,females,Bladder
0.727,1986,All races,females,Bladder
0.719,1989,All races,females,Bladder
0.719,1992,All races,females,Bladder
0.75,1995,All races,females,Bladder
0.754,1998,All races,females,Bladder
0.773,2001,All races,females,Bladder
0.748,2006,All races,females,Bladder
0.744,2013,All races,females,Bladder
0.737,1977,All races,males,Bladder
0.751,1980,All races,males,Bladder
0.781,1983,All races,males,Bladder
0.781,1986,All races,males,Bladder
0.813,1989,All races,males,Bladder
0.817,1992,All races,males,Bladder
0.821,1995,All races,males,Bladder
0.804,1998,All races,males,Bladder
0.809,2001,All races,males,Bladder
0.819,2006,All races,males,Bladder
0.792,2013,All races,males,Bladder
0.723,1977,All races,total,Bladder
0.739,1980,All races,total,Bladder
0.767,1983,All races,total,Bladder
0.767,1986,All races,total,Bladder
0.79,1989,All races,total,Bladder
0.792,1992,All races,total,Bladder
0.802,1995,All races,total,Bladder
0.791,1998,All races,total,Bladder
0.8,2001,All races,total,Bladder
0.801,2006,All races,total,Bladder
0.78,2013,All races,total,Bladder
0.24,1963,Black,females,Bladder
0.27,1973,Black,females,Bladder
0.381,1977,Black,females,Bladder
0.401,1980,Black,females,Bladder
0.47,1983,Black,females,Bladder
0.528,1986,Black,females,Bladder
0.529,1989,Black,females,Bladder
0.585,1992,Black,females,Bladder
0.462,1995,Black,females,Bladder
0.56,1998,Black,females,Bladder
0.6,2001,Black,females,Bladder
0.558,2006,Black,females,Bladder
0.562,2013,Black,females,Bladder
0.24,1963,Black,males,Bladder
0.38,1973,Black,males,Bladder
0.565,1977,Black,males,Bladder
0.626,1980,Black,males,Bladder
0.649,1983,Black,males,Bladder
0.623,1986,Black,males,Bladder
0.675,1989,Black,males,Bladder
0.657,1992,Black,males,Bladder
0.678,1995,Black,males,Bladder
0.656,1998,Black,males,Bladder
0.718,2001,Black,males,Bladder
0.683,2006,Black,males,Bladder
0.7,2013,Black,males,Bladder
0.24,1963,Black,total,Bladder
0.36,1973,Black,total,Bladder
0.503,1977,Black,total,Bladder
0.545,1980,Black,total,Bladder
0.595,1983,Black,total,Bladder
0.594,1986,Black,total,Bladder
0.626,1989,Black,total,Bladder
0.631,1992,Black,total,Bladder
0.606,1995,Black,total,Bladder
0.627,1998,Black,total,Bladder
0.675,2001,Black,total,Bladder
0.638,2006,Black,total,Bladder
0.654,2013,Black,total,Bladder
0.53,1963,White,females,Bladder
0.6,1973,White,females,Bladder
0.703,1977,White,females,Bladder
0.723,1980,White,females,Bladder
0.74,1983,White,females,Bladder
0.736,1986,White,females,Bladder
0.731,1989,White,females,Bladder
0.731,1992,White,females,Bladder
0.769,1995,White,females,Bladder
0.759,1998,White,females,Bladder
0.794,2001,White,females,Bladder
0.76,2006,White,females,Bladder
0.754,2013,White,females,Bladder
0.53,1963,White,males,Bladder
0.61,1973,White,males,Bladder
0.743,1977,White,males,Bladder
0.754,1980,White,males,Bladder
0.786,1983,White,males,Bladder
0.784,1986,White,males,Bladder
0.819,1989,White,males,Bladder
0.826,1992,White,males,Bladder
0.825,1995,White,males,Bladder
0.811,1998,White,males,Bladder
0.815,2001,White,males,Bladder
0.826,2006,White,males,Bladder
0.796,2013,White,males,Bladder
0.53,1963,White,total,Bladder
0.61,1973,White,total,Bladder
0.733,1977,White,total,Bladder
0.747,1980,White,total,Bladder
0.774,1983,White,total,Bladder
0.772,1986,White,total,Bladder
0.798,1989,White,total,Bladder
0.802,1992,White,total,Bladder
0.81,1995,White,total,Bladder
0.798,1998,White,total,Bladder
0.81,2001,White,total,Bladder
0.809,2006,White,total,Bladder
0.786,2013,White,total,Bladder
0.248,1977,All races,females,Brain and nervous system
0.251,1980,All races,females,Brain and nervous system
0.255,1983,All races,females,Brain and nervous system
0.285,1986,All races,females,Brain and nervous system
0.31,1989,All races,females,Brain and nervous system
0.297,1992,All races,females,Brain and nervous system
0.313,1995,All races,females,Brain and nervous system
0.32,1998,All races,females,Brain and nervous system
0.376,2001,All races,females,Brain and nervous system
0.36,2006,All races,females,Brain and nervous system
0.362,2013,All races,females,Brain and nervous system
0.207,1977,All races,males,Brain and nervous system
0.224,1980,All races,males,Brain and nervous system
0.23,1983,All races,males,Brain and nervous system
0.256,1986,All races,males,Brain and nervous system
0.273,1989,All races,males,Brain and nervous system
0.305,1992,All races,males,Brain and nervous system
0.329,1995,All races,males,Brain and nervous system
0.306,1998,All races,males,Brain and nervous system
0.309,2001,All races,males,Brain and nervous system
0.344,2006,All races,males,Brain and nervous system
0.337,2013,All races,males,Brain and nervous system
0.225,1977,All races,total,Brain and nervous system
0.236,1980,All races,total,Brain and nervous system
0.241,1983,All races,total,Brain and nervous system
0.269,1986,All races,total,Brain and nervous system
0.289,1989,All races,total,Brain and nervous system
0.302,1992,All races,total,Brain and nervous system
0.322,1995,All races,total,Brain and nervous system
0.313,1998,All races,total,Brain and nervous system
0.338,2001,All races,total,Brain and nervous system
0.351,2006,All races,total,Brain and nervous system
0.359,2013,All races,total,Brain and nervous system
0.21,1963,Black,females,Brain and nervous system
0.19,1973,Black,females,Brain and nervous system
0.347,1977,Black,females,Brain and nervous system
0.275,1980,Black,females,Brain and nervous system
0.292,1983,Black,females,Brain and nervous system
0.291,1986,Black,females,Brain and nervous system
0.293,1989,Black,females,Brain and nervous system
0.381,1992,Black,females,Brain and nervous system
0.368,1995,Black,females,Brain and nervous system
0.383,1998,Black,females,Brain and nervous system
0.451,2001,Black,females,Brain and nervous system
0.463,2006,Black,females,Brain and nervous system
0.419,2013,Black,females,Brain and nervous system
0.17,1963,Black,males,Brain and nervous system
0.19,1973,Black,males,Brain and nervous system
0.196,1977,Black,males,Brain and nervous system
0.287,1980,Black,males,Brain and nervous system
0.317,1983,Black,males,Brain and nervous system
0.328,1986,Black,males,Brain and nervous system
0.337,1989,Black,males,Brain and nervous system
0.402,1992,Black,males,Brain and nervous system
0.461,1995,Black,males,Brain and nervous system
0.336,1998,Black,males,Brain and nervous system
0.334,2001,Black,males,Brain and nervous system
0.342,2006,Black,males,Brain and nervous system
0.419,2013,Black,males,Brain and nervous system
0.19,1963,Black,total,Brain and nervous system
0.19,1973,Black,total,Brain and nervous system
0.254,1977,Black,total,Brain and nervous system
0.282,1980,Black,total,Brain and nervous system
0.308,1983,Black,total,Brain and nervous system
0.312,1986,Black,total,Brain and nervous system
0.317,1989,Black,total,Brain and nervous system
0.393,1992,Black,total,Brain and nervous system
0.417,1995,Black,total,Brain and nervous system
0.359,1998,Black,total,Brain and nervous system
0.384,2001,Black,total,Brain and nervous system
0.402,2006,Black,total,Brain and nervous system
0.419,2013,Black,total,Brain and nervous system
0.21,1963,White,females,Brain and nervous system
0.22,1973,White,females,Brain and nervous system
0.241,1977,White,females,Brain and nervous system
0.244,1980,White,females,Brain and nervous system
0.246,1983,White,females,Brain and nervous system
0.278,1986,White,females,Brain and nervous system
0.308,1989,White,females,Brain and nervous system
0.289,1992,White,females,Brain and nervous system
0.303,1995,White,females,Brain and nervous system
0.31,1998,White,females,Brain and nervous system
0.365,2001,White,females,Brain and nervous system
0.34,2006,White,females,Brain and nervous system
0.35,2013,White,females,Brain and nervous system
0.16,1963,White,males,Brain and nervous system
0.18,1973,White,males,Brain and nervous system
0.202,1977,White,males,Brain and nervous system
0.22,1980,White,males,Brain and nervous system
0.224,1983,White,males,Brain and nervous system
0.248,1986,White,males,Brain and nervous system
0.263,1989,White,males,Brain and nervous system
0.294,1992,White,males,Brain and nervous system
0.313,1995,White,males,Brain and nervous system
0.301,1998,White,males,Brain and nervous system
0.304,2001,White,males,Brain and nervous system
0.339,2006,White,males,Brain and nervous system
0.322,2013,White,males,Brain and nervous system
0.18,1963,White,total,Brain and nervous system
0.2,1973,White,total,Brain and nervous system
0.219,1977,White,total,Brain and nervous system
0.23,1980,White,total,Brain and nervous system
0.234,1983,White,total,Brain and nervous system
0.261,1986,White,total,Brain and nervous system
0.283,1989,White,total,Brain and nervous system
0.292,1992,White,total,Brain and nervous system
0.309,1995,White,total,Brain and nervous system
0.305,1998,White,total,Brain and nervous system
0.33,2001,White,total,Brain and nervous system
0.339,2006,White,total,Brain and nervous system
0.334,2013,White,total,Brain and nervous system
0.748,1977,All races,females,Breast
0.744,1980,All races,females,Breast
0.761,1983,All races,females,Breast
0.789,1986,All races,females,Breast
0.84,1989,All races,females,Breast
0.852,1992,All races,females,Breast
0.864,1995,All races,females,Breast
0.882,1998,All races,females,Breast
0.897,2001,All races,females,Breast
0.902,2006,All races,females,Breast
0.911,2013,All races,females,Breast
,1977,All races,males,Breast
,1980,All races,males,Breast
,1983,All races,males,Breast
,1986,All races,males,Breast
,1989,All races,males,Breast
,1992,All races,males,Breast
,1995,All races,males,Breast
,1998,All races,males,Breast
,2001,All races,males,Breast
,2006,All races,males,Breast
,2013,All races,males,Breast
0.748,1977,All races,total,Breast
0.744,1980,All races,total,Breast
0.761,1983,All races,total,Breast
0.789,1986,All races,total,Breast
0.84,1989,All races,total,Breast
0.852,1992,All races,total,Breast
0.864,1995,All races,total,Breast
0.882,1998,All races,total,Breast
0.897,2001,All races,total,Breast
0.902,2006,All races,total,Breast
0.911,2013,All races,total,Breast
0.46,1963,Black,females,Breast
0.51,1973,Black,females,Breast
0.622,1977,Black,females,Breast
0.634,1980,Black,females,Breast
0.634,1983,Black,females,Breast
0.651,1986,Black,females,Breast
0.711,1989,Black,females,Breast
0.715,1992,Black,females,Breast
0.727,1995,Black,females,Breast
0.762,1998,Black,females,Breast
0.789,2001,Black,females,Breast
0.779,2006,Black,females,Breast
0.827,2013,Black,females,Breast
,1963,Black,males,Breast
,1973,Black,males,Breast
,1977,Black,males,Breast
,1980,Black,males,Breast
,1983,Black,males,Breast
,1986,Black,males,Breast
,1989,Black,males,Breast
,1992,Black,males,Breast
,1995,Black,males,Breast
,1998,Black,males,Breast
,2001,Black,males,Breast
,2006,Black,males,Breast
,2013,Black,males,Breast
0.46,1963,Black,total,Breast
0.51,1973,Black,total,Breast
0.622,1977,Black,total,Breast
0.634,1980,Black,total,Breast
0.634,1983,Black,total,Breast
0.651,1986,Black,total,Breast
0.711,1989,Black,total,Breast
0.715,1992,Black,total,Breast
0.727,1995,Black,total,Breast
0.762,1998,Black,total,Breast
0.789,2001,Black,total,Breast
0.779,2006,Black,total,Breast
0.827,2013,Black,total,Breast
0.63,1963,White,females,Breast
0.68,1973,White,females,Breast
0.756,1977,White,females,Breast
0.751,1980,White,females,Breast
0.771,1983,White,females,Breast
0.8,1986,White,females,Breast
0.851,1989,White,females,Breast
0.865,1992,White,females,Breast
0.876,1995,White,females,Breast
0.894,1998,White,females,Breast
0.908,2001,White,females,Breast
0.917,2006,White,females,Breast
0.922,2013,White,females,Breast
,1963,White,males,Breast
,1973,White,males,Breast
,1977,White,males,Breast
,1980,White,males,Breast
,1983,White,males,Breast
,1986,White,males,Breast
,1989,White,males,Breast
,1992,White,males,Breast
,1995,White,males,Breast
,1998,White,males,Breast
,2001,White,males,Breast
,2006,White,males,Breast
,2013,White,males,Breast
0.63,1963,White,total,Breast
0.68,1973,White,total,Breast
0.756,1977,White,total,Breast
0.751,1980,White,total,Breast
0.771,1983,White,total,Breast
0.8,1986,White,total,Breast
0.851,1989,White,total,Breast
0.865,1992,White,total,Breast
0.876,1995,White,total,Breast
0.894,1998,White,total,Breast
0.908,2001,White,total,Breast
0.917,2006,White,total,Breast
0.922,2013,White,total,Breast
0.691,1977,All races,females,Cervix uteri
0.674,1980,All races,females,Cervix uteri
0.669,1983,All races,females,Cervix uteri
0.672,1986,All races,females,Cervix uteri
0.701,1989,All races,females,Cervix uteri
0.696,1992,All races,females,Cervix uteri
0.726,1995,All races,females,Cervix uteri
0.726,1998,All races,females,Cervix uteri
0.724,2001,All races,females,Cervix uteri
0.695,2006,All races,females,Cervix uteri
0.688,2013,All races,females,Cervix uteri
,1977,All races,males,Cervix uteri
,1980,All races,males,Cervix uteri
,1983,All races,males,Cervix uteri
,1986,All races,males,Cervix uteri
,1989,All races,males,Cervix uteri
,1992,All races,males,Cervix uteri
,1995,All races,males,Cervix uteri
,1998,All races,males,Cervix uteri
,2001,All races,males,Cervix uteri
,2006,All races,males,Cervix uteri
,2013,All races,males,Cervix uteri
0.691,1977,All races,total,Cervix uteri
0.674,1980,All races,total,Cervix uteri
0.669,1983,All races,total,Cervix uteri
0.672,1986,All races,total,Cervix uteri
0.701,1989,All races,total,Cervix uteri
0.696,1992,All races,total,Cervix uteri
0.726,1995,All races,total,Cervix uteri
0.726,1998,All races,total,Cervix uteri
0.724,2001,All races,total,Cervix uteri
0.695,2006,All races,total,Cervix uteri
0.688,2013,All races,total,Cervix uteri
0.47,1963,Black,females,Cervix uteri
0.61,1973,Black,females,Cervix uteri
0.646,1977,Black,females,Cervix uteri
0.61,1980,Black,females,Cervix uteri
0.592,1983,Black,females,Cervix uteri
0.579,1986,Black,females,Cervix uteri
0.57,1989,Black,females,Cervix uteri
0.581,1992,Black,females,Cervix uteri
0.628,1995,Black,females,Cervix uteri
0.648,1998,Black,females,Cervix uteri
0.66,2001,Black,females,Cervix uteri
0.626,2006,Black,females,Cervix uteri
0.583,2013,Black,females,Cervix uteri
,1963,Black,males,Cervix uteri
,1973,Black,males,Cervix uteri
,1977,Black,males,Cervix uteri
,1980,Black,males,Cervix uteri
,1983,Black,males,Cervix uteri
,1986,Black,males,Cervix uteri
,1989,Black,males,Cervix uteri
,1992,Black,males,Cervix uteri
,1995,Black,males,Cervix uteri
,1998,Black,males,Cervix uteri
,2001,Black,males,Cervix uteri
,2006,Black,males,Cervix uteri
,2013,Black,males,Cervix uteri
0.47,1963,Black,total,Cervix uteri
0.61,1973,Black,total,Cervix uteri
0.646,1977,Black,total,Cervix uteri
0.61,1980,Black,total,Cervix uteri
0.592,1983,Black,total,Cervix uteri
0.579,1986,Black,total,Cervix uteri
0.57,1989,Black,total,Cervix uteri
0.581,1992,Black,total,Cervix uteri
0.628,1995,Black,total,Cervix uteri
0.648,1998,Black,total,Cervix uteri
0.66,2001,Black,total,Cervix uteri
0.626,2006,Black,total,Cervix uteri
0.583,2013,Black,total,Cervix uteri
0.58,1963,White,females,Cervix uteri
0.64,1973,White,females,Cervix uteri
0.697,1977,White,females,Cervix uteri
0.681,1980,White,females,Cervix uteri
0.678,1983,White,females,Cervix uteri
0.688,1986,White,females,Cervix uteri
0.725,1989,White,females,Cervix uteri
0.709,1992,White,females,Cervix uteri
0.742,1995,White,females,Cervix uteri
0.736,1998,White,females,Cervix uteri
0.734,2001,White,females,Cervix uteri
0.708,2006,White,females,Cervix uteri
0.708,2013,White,females,Cervix uteri
,1963,White,males,Cervix uteri
,1973,White,males,Cervix uteri
,1977,White,males,Cervix uteri
,1980,White,males,Cervix uteri
,1983,White,males,Cervix uteri
,1986,White,males,Cervix uteri
,1989,White,males,Cervix uteri
,1992,White,males,Cervix uteri
,1995,White,males,Cervix uteri
,1998,White,males,Cervix uteri
,2001,White,males,Cervix uteri
,2006,White,males,Cervix uteri
,2013,White,males,Cervix uteri
0.58,1963,White,total,Cervix uteri
0.64,1973,White,total,Cervix uteri
0.697,1977,White,total,Cervix uteri
0.681,1980,White,total,Cervix uteri
0.678,1983,White,total,Cervix uteri
0.688,1986,White,total,Cervix uteri
0.725,1989,White,total,Cervix uteri
0.709,1992,White,total,Cervix uteri
0.742,1995,White,total,Cervix uteri
0.736,1998,White,total,Cervix uteri
0.734,2001,White,total,Cervix uteri
0.708,2006,White,total,Cervix uteri
0.708,2013,White,total,Cervix uteri
0.506,1977,All races,females,Colon and rectum
0.522,1980,All races,females,Colon and rectum
0.542,1983,All races,females,Colon and rectum
0.576,1986,All races,females,Colon and rectum
0.593,1989,All races,females,Colon and rectum
0.613,1992,All races,females,Colon and rectum
0.6,1995,All races,females,Colon and rectum
0.625,1998,All races,females,Colon and rectum
0.641,2001,All races,females,Colon and rectum
0.66,2006,All races,females,Colon and rectum
0.666,2013,All races,females,Colon and rectum
0.49,1977,All races,males,Colon and rectum
0.502,1980,All races,males,Colon and rectum
0.538,1983,All races,males,Colon and rectum
0.577,1986,All races,males,Colon and rectum
0.598,1989,All races,males,Colon and rectum
0.61,1992,All races,males,Colon and rectum
0.598,1995,All races,males,Colon and rectum
0.624,1998,All races,males,Colon and rectum
0.661,2001,All races,males,Colon and rectum
0.659,2006,All races,males,Colon and rectum
0.661,2013,All races,males,Colon and rectum
0.498,1977,All races,total,Colon and rectum
0.512,1980,All races,total,Colon and rectum
0.54,1983,All races,total,Colon and rectum
0.577,1986,All races,total,Colon and rectum
0.596,1989,All races,total,Colon and rectum
0.612,1992,All races,total,Colon and rectum
0.599,1995,All races,total,Colon and rectum
0.624,1998,All races,total,Colon and rectum
0.651,2001,All races,total,Colon and rectum
0.66,2006,All races,total,Colon and rectum
0.663,2013,All races,total,Colon and rectum
,1963,Black,females,Colon and rectum
,1973,Black,females,Colon and rectum
0.459,1977,Black,females,Colon and rectum
0.469,1980,Black,females,Colon and rectum
0.495,1983,Black,females,Colon and rectum
0.49,1986,Black,females,Colon and rectum
0.545,1989,Black,females,Colon and rectum
0.515,1992,Black,females,Colon and rectum
0.521,1995,Black,females,Colon and rectum
0.529,1998,Black,females,Colon and rectum
0.53,2001,Black,females,Colon and rectum
0.591,2006,Black,females,Colon and rectum
0.601,2013,Black,females,Colon and rectum
,1963,Black,males,Colon and rectum
,1973,Black,males,Colon and rectum
0.433,1977,Black,males,Colon and rectum
0.434,1980,Black,males,Colon and rectum
0.429,1983,Black,males,Colon and rectum
0.475,1986,Black,males,Colon and rectum
0.499,1989,Black,males,Colon and rectum
0.544,1992,Black,males,Colon and rectum
0.513,1995,Black,males,Colon and rectum
0.551,1998,Black,males,Colon and rectum
0.554,2001,Black,males,Colon and rectum
0.545,2006,Black,males,Colon and rectum
0.575,2013,Black,males,Colon and rectum
,1963,Black,total,Colon and rectum
,1973,Black,total,Colon and rectum
0.446,1977,Black,total,Colon and rectum
0.454,1980,Black,total,Colon and rectum
0.465,1983,Black,total,Colon and rectum
0.484,1986,Black,total,Colon and rectum
0.523,1989,Black,total,Colon and rectum
0.529,1992,Black,total,Colon and rectum
0.517,1995,Black,total,Colon and rectum
0.539,1998,Black,total,Colon and rectum
0.541,2001,Black,total,Colon and rectum
0.57,2006,Black,total,Colon and rectum
0.588,2013,Black,total,Colon and rectum
,1963,White,females,Colon and rectum
,1973,White,females,Colon and rectum
0.507,1977,White,females,Colon and rectum
0.525,1980,White,females,Colon and rectum
0.543,1983,White,females,Colon and rectum
0.583,1986,White,females,Colon and rectum
0.595,1989,White,females,Colon and rectum
0.621,1992,White,females,Colon and rectum
0.606,1995,White,females,Colon and rectum
0.632,1998,White,females,Colon and rectum
0.657,2001,White,females,Colon and rectum
0.666,2006,White,females,Colon and rectum
0.673,2013,White,females,Colon and rectum
,1963,White,males,Colon and rectum
,1973,White,males,Colon and rectum
0.493,1977,White,males,Colon and rectum
0.506,1980,White,males,Colon and rectum
0.545,1983,White,males,Colon and rectum
0.585,1986,White,males,Colon and rectum
0.605,1989,White,males,Colon and rectum
0.617,1992,White,males,Colon and rectum
0.603,1995,White,males,Colon and rectum
0.628,1998,White,males,Colon and rectum
0.674,2001,White,males,Colon and rectum
0.674,2006,White,males,Colon and rectum
0.67,2013,White,males,Colon and rectum
,1963,White,total,Colon and rectum
,1973,White,total,Colon and rectum
0.501,1977,White,total,Colon and rectum
0.516,1980,White,total,Colon and rectum
0.544,1983,White,total,Colon and rectum
0.584,1986,White,total,Colon and rectum
0.6,1989,White,total,Colon and rectum
0.619,1992,White,total,Colon and rectum
0.605,1995,White,total,Colon and rectum
0.63,1998,White,total,Colon and rectum
0.665,2001,White,total,Colon and rectum
0.67,2006,White,total,Colon and rectum
0.671,2013,White,total,Colon and rectum
0.075,1977,All races,females,Esophagus 
0.056,1980,All races,females,Esophagus 
0.082,1983,All races,females,Esophagus 
0.121,1986,All races,females,Esophagus 
0.095,1989,All races,females,Esophagus 
0.134,1992,All races,females,Esophagus 
0.117,1995,All races,females,Esophagus 
0.144,1998,All races,females,Esophagus 
0.195,2001,All races,females,Esophagus 
0.189,2006,All races,females,Esophagus 
0.223,2013,All races,females,Esophagus 
0.04,1977,All races,males,Esophagus 
0.048,1980,All races,males,Esophagus 
0.06,1983,All races,males,Esophagus 
0.084,1986,All races,males,Esophagus 
0.094,1989,All races,males,Esophagus 
0.117,1992,All races,males,Esophagus 
0.122,1995,All races,males,Esophagus 
0.13,1998,All races,males,Esophagus 
0.176,2001,All races,males,Esophagus 
0.187,2006,All races,males,Esophagus 
0.206,2013,All races,males,Esophagus 
0.05,1977,All races,total,Esophagus 
0.05,1980,All races,total,Esophagus 
0.066,1983,All races,total,Esophagus 
0.095,1986,All races,total,Esophagus 
0.094,1989,All races,total,Esophagus 
0.122,1992,All races,total,Esophagus 
0.121,1995,All races,total,Esophagus 
0.134,1998,All races,total,Esophagus 
0.181,2001,All races,total,Esophagus 
0.187,2006,All races,total,Esophagus 
0.21,2013,All races,total,Esophagus 
0.02,1963,Black,females,Esophagus 
0.03,1973,Black,females,Esophagus 
0.077,1977,Black,females,Esophagus 
0.068,1980,Black,females,Esophagus 
0.065,1983,Black,females,Esophagus 
0.099,1986,Black,females,Esophagus 
0.102,1989,Black,females,Esophagus 
0.084,1992,Black,females,Esophagus 
0.069,1995,Black,females,Esophagus 
0.136,1998,Black,females,Esophagus 
0.163,2001,Black,females,Esophagus 
0.166,2006,Black,females,Esophagus 
0.138,2013,Black,females,Esophagus 
0,1963,Black,males,Esophagus 
0.04,1973,Black,males,Esophagus 
0.02,1977,Black,males,Esophagus 
0.034,1980,Black,males,Esophagus 
0.037,1983,Black,males,Esophagus 
0.082,1986,Black,males,Esophagus 
0.053,1989,Black,males,Esophagus 
0.097,1992,Black,males,Esophagus 
0.078,1995,Black,males,Esophagus 
0.085,1998,Black,males,Esophagus 
0.106,2001,Black,males,Esophagus 
0.113,2006,Black,males,Esophagus 
0.103,2013,Black,males,Esophagus 
0.01,1963,Black,total,Esophagus 
0.04,1973,Black,total,Esophagus 
0.035,1977,Black,total,Esophagus 
0.043,1980,Black,total,Esophagus 
0.043,1983,Black,total,Esophagus 
0.087,1986,Black,total,Esophagus 
0.066,1989,Black,total,Esophagus 
0.094,1992,Black,total,Esophagus 
0.076,1995,Black,total,Esophagus 
0.102,1998,Black,total,Esophagus 
0.125,2001,Black,total,Esophagus 
0.132,2006,Black,total,Esophagus 
0.117,2013,Black,total,Esophagus 
0.06,1963,White,females,Esophagus 
0.04,1973,White,females,Esophagus 
0.07,1977,White,females,Esophagus 
0.052,1980,White,females,Esophagus 
0.09,1983,White,females,Esophagus 
0.13,1986,White,females,Esophagus 
0.092,1989,White,females,Esophagus 
0.148,1992,White,females,Esophagus 
0.127,1995,White,females,Esophagus 
0.147,1998,White,females,Esophagus 
0.197,2001,White,females,Esophagus 
0.194,2006,White,females,Esophagus 
0.234,2013,White,females,Esophagus 
0.04,1963,White,males,Esophagus 
0.04,1973,White,males,Esophagus 
0.048,1977,White,males,Esophagus 
0.053,1980,White,males,Esophagus 
0.065,1983,White,males,Esophagus 
0.09,1986,White,males,Esophagus 
0.11,1989,White,males,Esophagus 
0.122,1992,White,males,Esophagus 
0.136,1995,White,males,Esophagus 
0.139,1998,White,males,Esophagus 
0.186,2001,White,males,Esophagus 
0.2,2006,White,males,Esophagus 
0.22,2013,White,males,Esophagus 
0.04,1963,White,total,Esophagus 
0.04,1973,White,total,Esophagus 
